evaluation_item_id,image_path,main_object,closest_object,object_position,gemma_description,manual_review_status,object_consistency,spatial_consistency,clarity,naturalness,scene_completeness,unsupported_claims,evaluator_notes
VE-001,images/visual_evaluation_blind_v2/VE-001.jpg,Permukaan bertekstur gelap,Permukaan bertekstur gelap,tengah,Gambar ini menampilkan close-up dari permukaan berwarna gelap dengan pola lubang atau titik yang terdistribusi merata. Terdapat potongan bahan berwarna terang yang terlihat di bagian atas gambar.,completed,4,4,4,4,3,0,"Isi tampak konsisten, tetapi identitas koper tidak disebut pada close-up."
VE-002,images/visual_evaluation_blind_v2/VE-002.jpg,koper,koper,tengah,Gambar ini menampilkan koper besar berwarna abu-abu dengan banyak lubang melingkar di permukaannya. Koper tersebut tampak diletakkan di atas roda.,completed,5,4,4,4,4,0,"Koper, roda, warna, dan tekstur sesuai citra."
VE-003,images/visual_evaluation_blind_v2/VE-003.jpg,koper,koper,tengah,Gambar ini menampilkan sebuah koper hitam besar yang diletakkan di lantai ruangan indoor. Latar belakangnya adalah dinding berwarna terang dan lantai keramik putih.,completed,5,4,5,5,4,0,Objek dan konteks ruangan sesuai; posisi hanya dinyatakan umum.
VE-004,images/visual_evaluation_blind_v2/VE-004.jpg,koper,koper,tengah,Gambar menunjukkan sebuah koper berwarna gelap diletakkan di lantai ruangan berubin. Latar belakang adalah dinding polos dan lantai keramik putih.,completed,5,4,5,5,4,0,"Koper, lantai, dan dinding sesuai citra."
VE-005,images/visual_evaluation_blind_v2/VE-005.jpg,koper,koper,tengah,Sebuah koper berwarna gelap dengan roda tampak berada di lantai berubin ruangan indoor. Lingkungan tampak bersih dengan dinding dan lantai berwarna terang.,completed,5,4,5,4,4,0,Deskripsi sesuai; kata bersih bersifat interpretatif ringan.
VE-006,images/visual_evaluation_blind_v2/VE-006.jpg,koper,koper,tengah,Gambar ini menampilkan sebuah koper besar berwarna abu-abu yang diletakkan di atas lantai. Koper tersebut memiliki banyak tonjolan melingkar dan tampak berada di tengah bingkai.,completed,5,5,4,4,4,0,"Koper close-up, roda, tekstur, dan posisi sesuai."
VE-007,images/visual_evaluation_blind_v2/VE-007.jpg,kotak besar bertekstur,kotak besar bertekstur,tengah,Gambar menunjukkan pandangan dekat dari bagian bawah sebuah objek persegi panjang berwarna abu-abu gelap dengan banyak lubang melingkar. Objek ini tampaknya merupakan bagian dari perangkat beroda.,completed,3,3,4,4,3,0,Objek terlalu generik dan disebut bagian bawah meski bagian depan dominan terlihat.
VE-008,images/visual_evaluation_blind_v2/VE-008.jpg,koper,koper,tengah,Sebuah koper hitam diletakkan di atas lantai keramik dalam ruangan. Latar belakangnya adalah dinding polos dan lantai berwarna putih.,completed,5,4,5,5,4,0,Objek dan konteks ruangan sesuai citra.
VE-009,images/visual_evaluation_blind_v2/VE-009.jpg,koper besar,koper besar,tengah,Sebuah koper besar berwarna gelap diletakkan di atas lantai keramik dalam ruangan. Terdapat kabel atau kawat terlihat di sisi kanan gambar.,completed,5,4,5,5,4,0,Koper dan kabel di kanan sesuai citra.
VE-010,images/visual_evaluation_blind_v2/VE-010.jpg,koper/tas,koper/tas,tengah,Gambar ini menampilkan sebuah koper atau tas berwarna gelap yang diletakkan di atas lantai keramik di dalam ruangan. Objek tersebut berada di tengah bingkai dengan latar belakang dinding berwarna terang.,completed,5,5,5,5,4,0,"Identitas, posisi, lantai, dan dinding sesuai."
