image_name,mode,judge_model,rubric_version,repeat_count,semantic_correctness_mean,spatial_accuracy_mean,groundedness_mean,clarity_mean,overall_mean,overall_stddev,visual_evidence_union,critical_error_union
1 (1030).jpg,gemma_only,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.333333333333333,3.6666666666666665,4.333333333333333,5.0,4.333333333333333,0.4714045207910317,"Area depan/kiri relatif lapang. | Beberapa mesin berwarna krem/putih dengan panel gelap. | Beberapa unit berwarna krem/putih, panel gelap. | Deretan mesin cuci front/top-load terlihat sepanjang dinding. | Deretan mesin cuci/pengering sepanjang dinding kanan-belakang. | Lantai dominan ubin biru. | Lantai ubin dominan biru. | Mesin cuci berjajar sepanjang dinding kanan/belakang. | Ubin lantai dominan biru.",
1 (34).jpg,gemma_only,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.666666666666667,4.666666666666667,4.666666666666667,5.0,4.666666666666667,0.4714045207910317,"Kursi kayu di kiri dan kanan. | Kursi kayu terlihat kiri dan kanan. | Kursi kayu terlihat kiri-kanan meja. | Lampu meja hitam di atas meja. | Lampu meja pusat, vas bunga kanan atas meja. | Lampu meja pusat; vas bunga di sisi kanan meja. | Lantai kayu jelas. | Lantai kayu terlihat jelas. | Lantai kayu terlihat. | Meja konsol kayu berada tengah depan jendela. | Meja panjang/konsol berada tengah depan jendela. | Meja panjang/konsol di tengah depan jendela. | Vas bunga di sisi kanan atas meja.",
1 (6082).jpg,gemma_only,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,2.0,2.0,2.6666666666666665,4.0,2.0,0.0,"Ada gantungan dinding, bukan pagar. | Area tengah lantai lapang tanpa halangan. | Area tengah lapang. | Bangku panjang menempel dinding kanan+belakang. | Bangku panjang menempel dinding kanan-belakang. | Gantungan baju di dinding. | Gantungan pakaian di dinding. | Jendela di dinding kanan/atas. | Jendela di sisi kanan/atas. | Lantai tengah kosong/lapang. | Lantai terang. | Terlihat bangku panjang kayu/metal sepanjang dinding kanan dan belakang.","Klaim pagar di kedua sisi tidak sesuai objek/posisi utama. | Mengabaikan objek utama: bangku ruang ganti di kanan. | Mengganti bangku ruang ganti menjadi pagar kayu. | Mengidentifikasi ruang sebagai koridor/lorong. | Menyebut koridor/lorong, bukan ruang ganti. | Menyebut koridor/lorong. | Menyebut pagar kayu di kedua sisi. | Menyebut pagar kayu; objek utama lebih tepat bangku/rel/gantungan."
1 (6083).jpg,gemma_only,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,1.6666666666666667,2.0,1.6666666666666667,3.3333333333333335,1.6666666666666667,0.4714045207910317,Ada deretan kait/gantungan hitam di atas bangku. | Area lantai tengah relatif kosong. | Area tengah lantai relatif lapang tanpa halangan besar. | Bangku kayu panjang menempel/berjajar di sisi kanan-kiri dinding. | Bangku panjang kuning menempel/berdekatan dinding. | Deretan kait hitam di atas bangku. | Gantungan hitam di atas bangku. | Terlihat bangku panjang kuning berkaki merah sepanjang dinding.,"Klaim terbentang di lantai tidak akurat. | Klaim terbentang horizontal di lantai tidak sesuai citra. | Menyatakan terbentang di lantai; objek berada menempel/di depan dinding, bertumpu kaki, bukan di lantai sebagai palang. | Misidentifikasi bangku ruang ganti sebagai peralatan olahraga/palang paralel. | Salah identifikasi objek sebagai palang paralel olahraga. | Salah identifikasi objek: palang paralel."
1 (6169).jpg,gemma_only,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,4.0,4.333333333333333,5.0,4.0,0.0,"Area kiri lantai kosong relatif lapang. | Area kiri relatif kosong/lapang. | Bangku kecil terlihat di tengah-belakang. | Bangku panjang kayu di kanan bawah/foreground. | Bangku panjang kayu di sisi kanan bawah memanjang ke belakang. | Bangku panjang kayu terlihat di kanan depan. | Dinding putih di kedua sisi. | Koridor sempit, dinding putih, lantai cokelat muda. | Lantai cokelat muda/beige; tekstur kayu tidak jelas. | Lantai tampak permukaan ubin/karpet tan, bukan kayu jelas. | Ruang sempit memanjang, dinding terang, plafon lampu. | Ruang/koridor sempit memanjang.","Klaim 'membentang di sisi kanan' agak berlebih/tidak presisi. | Material lantai disebut kayu cokelat muda, visual kurang mendukung."
1 (6845).jpg,gemma_only,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,4.0,4.333333333333333,4.666666666666667,4.0,0.0,"Karpet oranye di lantai ubin bagian depan/tengah. | Karpet oranye di tengah depan. | Karpet oranye di tengah-depan. | Panel kayu/railing di kiri. | Panel/railing kayu di kiri. | Panel/struktur kayu di sisi kiri. | Pintu/jendela kaca besar di kanan, terlihat area luar. | Pintu/jendela kaca besar di kanan, terlihat luar. | Pintu/jendela kaca besar di sisi kanan, terlihat area luar. | Tangga berada tengah menuju area atas. | Tangga di tengah-belakang. | Tangga naik di area tengah-belakang.",
1 (7245).jpg,gemma_only,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,3.3333333333333335,4.0,4.0,4.0,0.0,Area depan relatif lapang tanpa halangan besar. | Area depan relatif lapang tanpa halangan jelas | Dinding kiri-kanan terang | Dinding terang kiri-kanan. | Jalur tengah relatif kosong. | Lantai mengilap/reflektif | Lantai mengilap/reflektif. | Lorong lurus di tengah gambar | Lorong tengah memanjang ke depan/jauh. | Lorong tengah panjang menuju titik jauh. | Ujung lorong jauh terlihat,Ambiguitas arah: 'di kedua sisi' | Arah 'di kedua sisi' tidak didukung; lorong tampak menuju depan. | Frasa 'membentang ke kejauhan di kedua sisi' tidak sepenuhnya sesuai perspektif citra.
1 (7248).jpg,gemma_only,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,5.0,5.0,5.0,5.0,5.0,0.0,Area ujung terlihat merah. | Dinding kiri/kanan terang. | Koridor memanjang ke tengah gambar. | Lantai krem mengarah ke ujung. | Lantai krem/cokelat muda. | Lantai krem/tan mengarah ke ujung. | Lorong memanjang ke tengah gambar. | Tidak tampak obstacle di jalur tengah. | Ujung koridor tampak area/dinding merah. | Ujung lorong tampak dinding/area merah.,
1 (7252).jpg,gemma_only,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,5.0,5.0,5.0,5.0,5.0,0.0,Dinding kanan terang; sisi kiri sebagian biru/gelap. | Dinding kiri/kanan terang; lantai kuning-cokelat reflektif. | Dinding terang kiri/kanan; lantai kuning-cokelat mengilap. | Lantai mengilap cokelat-kekuningan. | Lorong tengah memanjang ke belakang. | Lorong tengah memanjang ke titik jauh. | Pencahayaan plafon merata. | Tidak ada halangan dekat di jalur tengah. | Tidak ada halangan dekat; pot jauh di tengah akhir lorong.,
1 (7254).jpg,gemma_only,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,5.0,5.0,5.0,5.0,5.0,0.0,"Area tengah kosong relatif lapang. | Area tengah relatif lapang, tanpa halangan jelas. | Koridor indoor memanjang ke depan. | Lantai reflektif mengkilap. | Lantai reflektif/mengkilap. | Lorong memanjang ke depan/tengah. | Sisi kanan berderet kabinet/pintu kaca. | Sisi kanan berisi deretan kabinet kaca. | Sisi kanan berisi deretan lemari kaca/pajangan.",
