image_name,mode,judge_model,rubric_version,repeat_count,semantic_correctness_mean,spatial_accuracy_mean,groundedness_mean,clarity_mean,overall_mean,overall_stddev,visual_evidence_union,critical_error_union
1 (1030).jpg,gemma_depth_prompted,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,3.0,3.0,3.0,4.0,3.0,0.0,"Area kiri bawah lebih terbuka. | Area kiri lebih terbuka. | Deretan mesin cuci berada sepanjang sisi kanan-belakang ruangan. | Deretan mesin cuci berdiri di lantai sepanjang sisi kanan/belakang. | Lantai depan terlihat cukup kosong. | Lantai depan terlihat kosong/lapang. | Lantai depan/kiri terlihat terbuka. | Mesin berdiri di lantai, bukan terpasang di dinding. | Mesin cuci berjajar sepanjang sisi kanan/belakang. | Mesin paling kanan dekat tepi gambar, tapi bukan jelas halangan jalur utama. | Mesin terdekat tampak di kanan-depan/tepi kanan. | Unit berdiri di lantai, bukan wall-mounted.",'dipasang di dinding' tidak sesuai citra. | Klaim 'dipasang di dinding' salah. | Menyatakan bawah-kanan berpotensi halangan meski tidak jelas sebagai obstacle navigasi. | Menyebut bawah-kanan berpotensi halangan visual; label: has_obstacle=no. | Menyebut bawah-kanan berpotensi halangan; label: has_obstacle=no. | Menyebut mesin cuci dipasang di dinding.
1 (34).jpg,gemma_depth_prompted,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,3.6666666666666665,4.0,4.0,4.0,0.0,Kursi kayu berada kiri-kanan foreground; kanan-bawah dekat kamera. | Kursi kayu di kiri-bawah dan kanan-bawah foreground. | Kursi kayu di kiri/kanan foreground; kanan-bawah dekat kamera. | Lantai kayu terlihat jelas. | Lantai kayu terlihat. | Meja konsol di tengah depan jendela. | Meja konsol kayu di tengah depan jendela. | Ruang tengah antara kursi tampak terbuka. | Ruang tengah bawah relatif kosong dibanding sisi kiri/kanan. | Ruang tengah bawah relatif terbuka di antara kursi/meja.,Menyebut bawah-kanan sebagai potensi halangan meski anotasi: has_obstacle=no.
1 (6082).jpg,gemma_depth_prompted,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,2.0,2.3333333333333335,2.3333333333333335,4.0,2.3333333333333335,0.4714045207910317,"Area lantai tengah kosong/lapang. | Area tengah lantai kosong/lapang. | Bangku kiri/belakang, gantungan dinding, jendela. | Bangku panjang kanan foreground→belakang. | Bangku panjang sepanjang dinding kanan/belakang. | Bawah-kanan berisi bagian bangku dekat kamera, bukan kategori jauh. | Bawah-kanan berisi ujung bangku dekat kamera. | Citra: ruang ganti indoor, bangku kayu panjang sepanjang kanan, bangku kiri-belakang. | Objek utama di kanan, jarak sedang. | Tidak tampak pagar koridor; tampak bangku+gantungan.","Bawah-kanan jauh/tidak berhalangan kuat → tidak akurat; ada bangku dekat kanan. | Jarak/status bawah-kanan salah: objek dekat, bukan jauh. | Menilai bawah-kanan relatif jauh padahal bangku kanan foreground/medium. | Menyebut koridor + pagar kayu → salah semantik. | Menyebut koridor indoor. | Menyebut pagar kayu di sisi-sisi. | Misidentifikasi ruang sebagai koridor berpagar kayu."
1 (6083).jpg,gemma_depth_prompted,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,3.0,4.0,4.0,4.0,0.0,"Area lantai tengah/depan terbuka. | Bangku panjang kuning di sisi kanan dan kiri ruangan. | Bangku panjang kuning di sisi kanan, juga sisi kiri/belakang. | Bangku panjang kuning di sisi kanan, kiri/belakang. | Lantai depan/tengah terlihat kosong relatif lapang. | Lantai tengah/depan kosong relatif lapang. | Tidak tampak halangan besar di area tengah. | Tidak tampak halangan besar di jalur tengah.","'Area kiri lebih lapang' kurang didukung; kiri juga berisi bangku. | 'Tengah-kanan jauh' ambigu; objek kanan dekat/dominan. | Kedalaman tengah-kanan disebut relatif jauh; label sedang, citra menunjukkan bangku kanan cukup dekat. | Kiri disebut lebih lapang meski ada bangku sepanjang sisi kiri/belakang. | Kiri lebih lapang tidak kuat karena ada bangku kiri. | Tengah-kanan mengabaikan bangku kanan sebagai potensi batas/halangan samping."
1 (6169).jpg,gemma_depth_prompted,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,3.0,2.6666666666666665,3.0,4.0,3.0,0.0,"Area kiri/tengah lantai kosong relatif lapang. | Area kiri/tengah relatif kosong/lapang. | Bangku kayu terlihat kanan bawah, dekat kamera. | Bangku panjang di kanan-bawah/foreground; bangku kecil tengah-belakang. | Bangku/papan kayu panjang di kanan-bawah/foreground. | Lantai tampak bukan kayu; unsur kayu terutama bangku. | Lantai tampak ubin/karpet beige, bukan kayu. | Lantai tidak jelas kayu; bangku kayu. | Ruang indoor sempit, dinding terang. | Ruang memanjang sempit; dinding terang. | Ruang sempit memanjang, dinding terang, lampu plafon.","'Bawah-kanan berpotensi halangan' bertentangan sebagian dgn label has_obstacle=no. | Bawah-kanan sebagai halangan visual → berlebihan; anotasi has_obstacle=no. | Halangan dinyatakan potensial, tidak selaras penuh dengan label has_obstacle=no. | Lantai kayu tidak sesuai citra. | Menyebut lantai kayu → kemungkinan salah. | Menyebut lantai kayu. | Tidak mengidentifikasi bangku sebagai objek utama. | Tidak menyebut bangku sebagai objek utama."
1 (6845).jpg,gemma_depth_prompted,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,3.6666666666666665,3.0,3.0,4.0,3.0,0.0,"Area lantai depan/tengah relatif kosong. | Area tengah sebelum tangga relatif kosong/lapang. | Area tengah/depan cukup lapang. | Bawah-kanan hanya tepi/rel pintu kaca, bukan halangan jelas. | Bawah-kanan tampak area lantai dekat pintu kaca, bukan halangan jelas. | Bawah-kanan terutama lantai/tepi kaca, bukan halangan jelas. | Karpet oranye berada di tengah lantai ubin. | Karpet oranye di tengah depan. | Karpet oranye di tengah lantai ubin. | Lantai ubin terlihat. | Tangga berada di tengah belakang. | Tangga berada di tengah-belakang. | Tangga terlihat jelas di tengah bagian depan.",Mengabaikan objek utama: tangga tengah. | Menganggap bawah-kanan potensi halangan tanpa bukti kuat. | Mengklaim potensi halangan bawah-kanan tanpa bukti kuat. | Mengklaim potensi halangan bawah-kanan tanpa dukungan kuat. | Tidak menyebut tangga sebagai objek utama. | Tidak menyebut tangga tengah sebagai elemen spasial penting.
1 (7245).jpg,gemma_depth_prompted,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.666666666666667,4.0,4.666666666666667,4.333333333333333,4.666666666666667,0.4714045207910317,"Area tengah jalur berjalan kosong relatif lapang. | Area tengah jalur kosong hingga ujung lorong. | Area tengah kosong/lapang. | Koridor memanjang ke depan. | Koridor memanjang ke tengah/depan. | Koridor panjang terlihat memanjang ke tengah/ujung. | Lantai kuning mengkilap, reflektif. | Lantai kuning/cokelat mengkilap reflektif. | Lantai kuning/cokelat mengkilap. | Tidak ada objek penghalang besar di depan. | Tidak tampak objek penghalang signifikan di jalur depan. | Tidak tampak obstacle utama di jalur tengah.",Bawah-kiri disebut kedalaman relatif jauh; pada citra area itu foreground/dekat.
1 (7248).jpg,gemma_depth_prompted,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,3.0,3.6666666666666665,4.0,3.6666666666666665,0.4714045207910317,"Area tengah bebas/lapang | Area tengah depan relatif terbuka. | Bawah-kiri hanya tepi lantai/dinding, bukan halangan | Bawah-kiri hanya tepi/dinding dekat, bukan obstacle jelas. | Jalur tengah kosong relatif lapang. | Koridor memanjang ke depan/tengah. | Lantai krem kosong | Lantai krem kosong dominan. | Lantai krem mengarah ke ruang/area merah di ujung. | Lorong indoor memanjang ke tengah-jauh. | Lorong memanjang tengah→jauh | Tidak tampak objek penghalang nyata di bawah-kiri.","Menyebut bawah-kiri berpotensi halangan visual | Menyebut bawah-kiri berpotensi halangan visual → tidak didukung kuat; label: has_obstacle=no. | Menyebut bawah-kiri berpotensi halangan visual, tidak didukung kuat."
1 (7252).jpg,gemma_depth_prompted,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,3.6666666666666665,4.0,3.3333333333333335,4.0,0.0,"Dinding kiri-kanan membatasi lorong. | Koridor memanjang ke titik jauh. | Lantai tengah kosong relatif lapang. | Lantai tengah kosong/lapang. | Lorong memanjang ke depan/tengah. | Lorong memanjang ke titik jauh. | Objek tanaman jauh di ujung, tidak menghalangi jalur utama. | Pot tanaman jauh di tengah, bukan halangan dekat kuat. | Pot tanaman tampak jauh di tengah, bukan halangan dekat. | Sisi kanan ada bukaan/pintu dekat. | Sisi kanan dekat ada bukaan/pintu, bukan halangan jalur.",Frasa kedalaman/halangan ambigu. | Posisi 'terdekat tengah-kanan' tidak kuat.
1 (7254).jpg,gemma_depth_prompted,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,5.0,5.0,5.0,5.0,5.0,0.0,"Area depan kosong/lapang. | Jalur tengah terbuka. | Koridor lurus panjang → titik hilang jauh. | Lantai kosong mengkilap → area depan/tengah lapang. | Lantai reflektif mengkilap. | Lorong memanjang ke tengah/jauh. | Lorong memanjang ke titik jauh. | Sisi kanan lemari/dinding, tidak menutup jalur. | Tidak ada objek penghalang jalur utama. | Tidak tampak objek menghalangi jalur tengah/kanan.",
