image_name,mode,expected_object,predicted_object,object_match,expected_position,predicted_position,position_match,expected_distance,predicted_distance,distance_match,expected_obstacle,predicted_distance_for_obstacle,obstacle_match,quality,final_description
indoor_001.webp,gemma_only,kipas angin,Area ruang tamu,False,kanan,tengah,False,dekat,,,yes,,,1.667,"Ruangan ini tampak sebagai area santai dengan perabotan yang terlihat digunakan. Terdapat beberapa barang dan kabel yang tersebar di lantai, sehingga perlu diperhatikan potensi hambatan."
indoor_001.webp,depth_only,kipas angin,,False,kanan,,True,dekat,sedang,False,yes,sedang,False,2.0,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif sedang. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
indoor_001.webp,gemma_depth,kipas angin,Sofa,False,kanan,kanan,True,dekat,sedang,False,yes,sedang,False,2.0,"Terlihat Sofa di area kanan. Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif sedang. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
indoor_002.webp,gemma_only,kipas angin,rak hijau,False,kanan,kiri,True,dekat,,,yes,,,3.333,"Ruangan ini memiliki dinding berwarna krem dan lantai keramik putih. Rak hijau besar terlihat menempati sisi kiri, sementara area depan kanan tampak terdapat beberapa barang yang diletakkan."
indoor_002.webp,depth_only,kipas angin,,False,kanan,,True,dekat,sedang,False,yes,sedang,False,2.0,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif sedang. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kiri tampak relatif lebih lapang."
indoor_002.webp,gemma_depth,kipas angin,Rak penyimpanan hijau-biru,False,kanan,kiri,True,dekat,sedang,False,yes,sedang,False,2.0,"Terlihat Rak penyimpanan hijau-biru di area kiri. Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif sedang. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kiri tampak relatif lebih lapang."
indoor_003.webp,gemma_only,meja kerja,Meja kerja,True,tengah,tengah,True,dekat,,,yes,,,5.0,"Terlihat area kerja indoor dengan meja dan kursi kantor. Terdapat laptop yang diletakkan di atas meja, sementara kipas angin terlihat di bagian bawah gambar."
indoor_003.webp,depth_only,meja kerja,,False,tengah,,False,dekat,dekat,True,yes,dekat,True,3.0,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kanan tampak relatif lebih lapang."
indoor_003.webp,gemma_depth,meja kerja,kursi kantor,False,tengah,tengah,True,dekat,dekat,True,yes,dekat,True,4.0,"Terlihat kursi kantor di area tengah. Berdasarkan estimasi kedalaman relatif, bagian bawah-kiri merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif dekat. Area bawah-kiri berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kanan tampak relatif lebih lapang."
indoor_004.webp,gemma_only,tumpukan barang,Pakaian yang tergantung dan tergeletak,False,kanan,kanan,True,dekat,,,yes,,,3.333,"Ruangan indoor ini terlihat memiliki banyak tumpukan pakaian dan barang yang menutupi area sisi kanan. Area depan tampak berantakan, sehingga terdapat potensi hambatan bagi pejalan kaki."
