image_name,mode,judge_model,rubric_version,repeat_count,semantic_correctness_mean,spatial_accuracy_mean,groundedness_mean,clarity_mean,overall_mean,overall_stddev,visual_evidence_union,critical_error_union
1 (1030).jpg,gemma_depth,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,3.3333333333333335,3.6666666666666665,5.0,3.6666666666666665,0.4714045207910317,"Area kiri/lantai depan tampak lebih kosong. | Area lantai depan/kiri terlihat cukup kosong. | Area lantai kiri depan tampak lebih kosong. | Bagian atas tampak rak/panel dinding, bukan jelas lemari putih. | Bagian atas tampak rak/panel, bukan jelas lemari putih. | Deretan mesin cuci sepanjang sisi kanan/tengah. | Deretan mesin cuci/pengering sepanjang dinding kanan-belakang. | Di atas mesin tampak papan/rak, bukan lemari putih jelas. | Mesin cuci berjajar sepanjang sisi kanan/tengah. | Objek terdekat tampak mesin sisi kanan depan. | Unit kanan bawah tampak paling dekat kamera. | Unit paling kanan terpotong dekat kamera.","Lemari putih di atas tidak kuat secara visual. | Menyebut area bawah-kanan berpotensi halangan visual; label: has_obstacle=no, front_area_status=relatif_lapang. | Menyebut bawah-kanan berpotensi halangan meski anotasi: has_obstacle=no. | Menyebut lemari putih di atasnya tidak kuat dari citra. | Menyebut potensi halangan visual meski tidak tampak jelas/label no obstacle."
1 (34).jpg,gemma_depth,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,3.0,4.0,4.333333333333333,4.0,0.0,"Area lantai tengah depan meja tampak terbuka. | Area tengah bawah relatif kosong/lapang. | Area tengah bawah relatif terbuka dibanding sisi kursi. | Bukaan kaca besar menghadap luar terlihat jelas. | Kaca besar menampilkan luar/vegetasi. | Kursi kanan berada dekat bawah-kanan, tapi bukan satu-satunya area dekat. | Kursi kayu di kiri-kanan foreground. | Kursi kayu kiri-kanan, kursi kanan berada foreground bawah-kanan. | Kursi kayu tampak kiri-bawah dan kanan-bawah; kanan lebih dekat kamera. | Meja konsol di tengah depan kaca. | Meja konsol panjang berada di tengah depan jendela. | Meja konsol panjang di tengah depan kaca.",Kedekatan bawah-kanan sebagai paling dekat tidak pasti; foreground juga mencakup bawah-tengah/kiri. | Menyebut bawah-kanan berpotensi halangan; anotasi menyatakan tidak ada obstacle. | Menyebut bawah-kanan berpotensi halangan; anotasi: has_obstacle=no. | Menyebut bawah-kanan berpotensi halangan; label pembanding: has_obstacle=no. | Menyebut bingkai pintu kaca besar; citra lebih ambigu sebagai jendela/kaca besar.
1 (6082).jpg,gemma_depth,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,2.0,2.0,2.0,4.0,2.0,0.0,"Area tengah lantai kosong relatif lapang. | Area tengah lantai kosong/lapang. | Bangku kayu sepanjang kanan+belakang, rangka hijau. | Bangku panjang menempel dinding kanan+belakang. | Bawah-kanan berisi ujung bangku dekat kamera. | Dinding terang, jendela, gantungan terlihat. | Objek kanan/bawah-kanan paling dekat. | Ruang kecil/ruang ganti, bukan lorong panjang. | Tidak tampak lorong panjang berpagar di dua sisi.","Kategori jarak bawah-kanan 'jauh' tidak cocok dg citra/label sedang. | Kedalaman 'jauh' untuk area dekat/label sedang. | Klaim bawah-kanan paling dekat tetapi kategori jauh; inkonsisten+tidak cocok visual/anotasi. | Klaim spasial internal kontradiktif: paling dekat tapi jauh. | Mengidentifikasi ruang sebagai lorong panjang. | Menyebut pagar kayu, bukan bangku/pegangan ruang ganti. | Objek utama salah: lorong/pagar vs bangku ruang ganti. | Salah identifikasi scene: lorong panjang. | Salah sebut pagar kayu kedua sisi."
1 (6083).jpg,gemma_depth,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,2.6666666666666665,3.6666666666666665,4.0,3.6666666666666665,0.4714045207910317,"Area lantai tengah/depan kosong relatif lapang. | Area tengah lantai relatif kosong. | Area tengah/depan relatif kosong tanpa halangan kuat. | Bangku kanan bawah tampak paling dekat. | Bangku kanan tampak paling dominan/dekat. | Bangku kuning panjang di kanan, kiri, belakang. | Bangku kuning panjang sepanjang dinding kanan/kiri. | Bangku panjang kuning dg rangka merah di sisi kanan + kiri/belakang. | Dinding berderet kait gantungan hitam. | Kait hitam di dinding atas bangku. | Lantai terang tampak keras, bukan karpet. | Tidak ada halangan besar di jalur tengah.",'Area kiri lebih lapang' lemah; tengah lebih terbuka. | Area kiri disebut lebih lapang; bukti lebih mendukung area tengah/depan lapang. | Area kiri disebut lebih lapang; citra/label → tengah lebih lapang. | Kedalaman 'jauh' tidak cocok; citra/label → sedang/dekat kanan. | Kedalaman 'jauh' untuk area terdekat keliru. | Kedalaman tengah-kanan disebut 'jauh' meski diklaim paling dekat. | Lantai disebut karpet.
1 (6169).jpg,gemma_depth,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,3.0,4.0,4.0,4.0,0.0,"Area kiri lantai lebih kosong/lapang. | Area kiri relatif kosong terbuka. | Area kiri/tengah lantai relatif kosong. | Bangku kecil di tengah-belakang. | Bangku kecil terlihat di tengah-belakang. | Bangku panjang di kanan-bawah foreground paling dekat. | Bangku panjang di kanan-depan, paling dekat kamera. | Bangku panjang kayu di kanan-bawah/foreground. | Dinding terang, ruang sempit memanjang. | Koridor/dinding terang, lantai cokelat. | Ruang sempit berdinding terang, lantai terang.",Menyebut bawah-kanan berpotensi halangan; label pembanding: has_obstacle=no. | Open area salah fokus: kiri lebih lapang daripada tengah. | Open area: kandidat menekankan tengah; bukti/label lebih kuat kiri. | Status halangan dilebihkan: label no obstacle; visual hanya potensi di sisi kanan. | Status halangan: kandidat menyebut potensial obstacle; label no obstacle. | Tidak menekankan kiri sebagai area lebih lapang/arah aman.
1 (6845).jpg,gemma_depth,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,3.0,3.6666666666666665,4.0,3.6666666666666665,0.4714045207910317,"Area tengah lantai/karpet relatif terbuka. | Area tengah relatif terbuka. | Area tengah-depan tampak cukup kosong/lapang. | Bawah-kanan berupa lantai dekat pintu kaca, bukan halangan jelas. | Karpet oranye berada di area depan lantai ubin. | Karpet oranye berada di area depan/bawah. | Karpet oranye di foreground. | Panel/dinding kayu di kiri. | Panel/dinding kayu di sisi kiri. | Sisi kanan berisi pintu/kaca, bukan halangan utama jalur tengah. | Tangga berada tengah menuju belakang. | Tangga terlihat di tengah menuju area belakang.","Area terdekat lebih umum area depan, bukan spesifik bawah-kanan. | Bawah-kanan sebagai halangan visual tidak didukung kuat; label: has_obstacle=no. | Fokus area terdekat bawah-kanan agak berlebihan; foreground karpet/lantai juga dekat. | Klaim bawah-kanan sebagai potensi halangan tidak kuat; label: has_obstacle=no. | Menyebut bawah-kanan berpotensi halangan visual; citra/label tidak mendukung."
1 (7245).jpg,gemma_depth,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,3.0,4.0,3.6666666666666665,4.0,0.0,"Area tengah depan kosong/lapang. | Area tengah jalur relatif kosong/lapang. | Bawah-kiri = foreground dekat. | Dinding krem, pintu kanan/kiri. | Dinding krem, pintu/akses di kedua sisi. | Foreground bawah lebih dekat secara visual daripada ujung lorong. | Lantai mengilap cokelat terang. | Lantai mengilap cokelat terang; dinding krem. | Lantai mengilap cokelat-kuning. | Lorong panjang memusat ke tengah belakang. | Lorong panjang tengah perspektif. | Lorong panjang terlihat memanjang ke tengah-belakang. | Pintu/akses tampak di kiri-kanan.","Kedalaman bawah-kiri dinilai jauh, padahal foreground dekat. | Klaim bawah-kiri paling dekat tetapi berkategori kedalaman jauh. | Kontradiksi kedalaman: bawah-kiri paling dekat tetapi dikategorikan jauh. | Kontradiksi: bawah-kiri paling dekat vs kategori jauh."
1 (7248).jpg,gemma_depth,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,2.6666666666666665,3.0,4.0,3.0,0.0,"Area tengah terbuka sebagai jalur aman. | Dinding terang kanan-kiri, lantai cokelat muda. | Jalur tengah kosong/lapang. | Lantai depan kosong, tanpa benda penghalang. | Lantai depan kosong/lapang; tidak ada objek halangan bawah-kiri. | Lorong indoor memanjang ke tengah. | Lorong memanjang pusat citra. | Lorong panjang tengah gambar. | Perspektif menunjukkan jalur tengah terbuka. | Ujung lorong: area merah terlihat. | Ujung lorong: dinding merah/ruang merah. | Ujung lorong: dinding merah/ruang terbuka.",Kategori kedalaman 'sedang' bertentangan label 'jauh'. | Kategori kedalaman sedang tidak cocok dgn label main distance: jauh. | Kategori kedalaman sedang vs label jauh. | Menganggap bawah-kiri potensi halangan visual tanpa bukti. | Menyebut bawah-kiri berpotensi halangan; citra/label tidak menunjukkan obstacle. | Menyebut bawah-kiri paling dekat sebagai halangan visual.
1 (7252).jpg,gemma_depth,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,3.0,4.0,4.0,4.0,0.0,"Area tengah depan relatif kosong; tanaman jauh kecil. | Area tengah lantai relatif kosong/lapang. | Area tengah relatif kosong; pot tanaman jauh di ujung, bukan halangan dekat. | Dinding putih/abu, sisi kiri ada panel biru. | Foreground bawah/sisi paling dekat secara perspektif. | Foreground bawah/tengah paling dekat secara visual. | Koridor memanjang ke depan. | Koridor panjang memanjang ke depan. | Lantai mengilap kuning-oranye; dinding kanan putih, kiri gelap/biru. | Lantai mengilap oranye/kuning. | Lantai mengilap oranye/kuning; dinding putih/abu, sisi kiri biru/gelap. | Lorong panjang terlihat dari foreground ke ujung jauh. | Tanaman/objek kecil di ujung lorong, jauh, bukan halangan utama.",Pernyataan 'paling dekat' + 'kedalaman jauh' inkonsisten. | Posisi 'tengah-kanan paling dekat' tidak sesuai citra. | Posisi 'tengah-kanan paling dekat' tidak sesuai geometri citra. | Posisi paling dekat salah/ambigu: bukan tengah-kanan.
1 (7254).jpg,gemma_depth,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,3.0,4.0,4.0,4.0,0.0,Area tengah jalur kosong relatif lapang. | Area tengah lantai kosong relatif lapang. | Deretan lemari/kabinet kaca-kayu di kanan. | Deretan lemari/kabinet kaca-kayu di sisi kanan. | Deretan lemari/rak kayu di kanan. | Lantai kuning mengkilap dominan. | Lantai kuning mengkilap memantul cahaya. | Lantai kuning mengkilap/reflektif. | Lorong panjang indoor terlihat jelas. | Lorong panjang terlihat dari foreground ke ujung jauh. | Lorong panjang terlihat memanjang ke tengah. | Tidak tampak halangan besar di jalur tengah. | Ujung lorong terang/jauh. | Ujung lorong terang; area tengah kosong/lapang.,"Area terdekat visual berada foreground, bukan tengah-kanan. | Frasa 'paling dekat' + 'kategori jauh' kontradiktif. | Klaim tengah-kanan paling dekat + kategori jauh kontradiktif. | Klaim tengah-kanan paling dekat tidak tepat. | Kontradiksi: tengah-kanan disebut paling dekat sekaligus kedalaman jauh. | Lokasi paling dekat tidak tepat; foreground bawah lebih dekat."
