image_name,mode,judge_model,rubric_version,repeat_count,semantic_correctness_mean,spatial_accuracy_mean,groundedness_mean,clarity_mean,overall_mean,overall_stddev,visual_evidence_union,critical_error_union
1 (1030).jpg,gemma_depth_constrained_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.666666666666667,4.333333333333333,4.666666666666667,5.0,4.666666666666667,0.4714045207910317,Area bawah-kanan berisi mesin cuci jarak sedang. | Area kiri depan relatif lapang. | Area kiri depan relatif lapang; mesin berjarak sedang. | Deretan mesin cuci di sisi kanan/dinding belakang. | Deretan mesin cuci di sisi kanan/menyusuri dinding. | Deretan mesin cuci terlihat di sisi kanan/dinding belakang. | Lantai ubin biru jelas. | Lantai ubin biru terlihat jelas. | Lantai ubin biru terlihat. | Tidak tampak halangan utama.,
1 (34).jpg,gemma_depth_constrained_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.666666666666667,3.3333333333333335,4.0,5.0,4.0,0.0,"Bawah-kanan berisi kursi dekat kamera. | Kursi kayu di kiri dan kanan foreground. | Kursi kayu di kiri-kanan, bagian bawah/foreground. | Kursi kayu kiri/kanan di foreground. | Lampu di atas meja, vas bunga kanan meja. | Lampu hitam di atas meja. | Lampu meja di atas meja, vas bunga kanan meja. | Lantai kayu terlihat jelas. | Lantai kayu terlihat. | Meja konsol di tengah depan jendela. | Meja konsol panjang di tengah depan jendela. | Region bawah-kanan ditempati kursi dekat kamera. | Vas bunga di kanan atas meja.",Depth bawah-kanan 'sedang' kemungkinan salah; visual menunjukkan foreground/dekat. | Depth region bawah-kanan kemungkinan lebih dekat daripada 'sedang'. | Klaim kedalaman bawah-kanan sedang; visual lebih dekat/foreground.
1 (6082).jpg,gemma_depth_constrained_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,2.3333333333333335,1.3333333333333333,2.3333333333333335,4.0,2.3333333333333335,0.4714045207910317,"Area tengah lantai lapang. | Bangku panjang di kanan dan belakang. | Bangku panjang di sisi kanan dan belakang. | Bangku panjang menempel dinding kanan+kiri/belakang. | Bawah-kanan = dekat kamera. | Bawah-kanan tampak dekat kamera. | Jendela di dinding kanan/atas. | Kait dinding, jendela kanan/atas. | Lantai tengah lapang. | Region bawah-kanan berada dekat kamera, bukan jauh.","Depth bawah-kanan disebut jauh. | Depth grid bawah-kanan jauh → salah. | Kedalaman region bawah-kanan salah: dekat, bukan jauh. | Mengabaikan bangku ruang ganti. | Menyebut pagar kayu di kedua sisi. | Misidentifikasi bangku sebagai pagar kayu/koridor. | Mislabel ruang: koridor/lorong vs ruang ganti. | Objek utama bangku tidak disebut jelas."
1 (6083).jpg,gemma_depth_constrained_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,1.6666666666666667,2.0,1.6666666666666667,4.0,2.0,0.0,"Area lantai tengah relatif lapang. | Area tengah lantai relatif lapang. | Bangku panjang kuning di sepanjang dinding kanan/kiri. | Deret kait/gantungan hitam di atas bangku. | Kait hitam berjajar di dinding. | Objek utama berada dominan sisi kanan, menempel dinding. | Rangka merah menempel dinding/lantai. | Terlihat bangku kuning panjang di kanan & kiri, rangka merah, gantungan hitam di dinding. | Terlihat bangku panjang kuning di kanan+bawah. | Tidak tampak palang paralel olahraga.",Fungsi/jenis ruang salah implisit: peralatan olahraga vs ruang ganti. | Kategori depth tengah-kanan 'jauh' tidak didukung; label: sedang. | Klaim peralatan horizontal di lantai bertentangan: objek berupa bangku/gantungan dinding. | Klaim peralatan terbentang horizontal di lantai tidak sesuai. | Misidentifikasi bangku ruang ganti sebagai palang paralel/peralatan olahraga. | Misidentifikasi bangku/kait sebagai palang paralel olahraga. | Relasi 'terbentang horizontal di lantai' menyesatkan. | Salah identifikasi objek utama.
1 (6169).jpg,gemma_depth_constrained_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,3.6666666666666665,3.6666666666666665,5.0,3.6666666666666665,0.4714045207910317,"Ada bangku kecil lebih jauh di tengah. | Area kiri depan relatif lapang. | Area kiri lantai relatif lapang. | Area kiri relatif kosong/lapang. | Bangku kayu panjang di kanan bawah/foreground. | Bangku panjang kayu di kanan depan. | Bangku panjang kayu di kanan-bawah. | Dinding putih, ruang sempit memanjang. | Dinding putih/krem, koridor memanjang. | Koridor/ruang sempit berdinding putih. | Lantai tampak beige, bukan papan kayu. | Objek bangku di sisi kanan, bukan penghalang utama jalur kiri.","Depth 3x3 bawah-kanan 'sedang' bertentangan dg foreground dekat. | Depth region bawah-kanan sedang tidak kuat dari citra; kanan bawah dekat. | Lantai disebut kayu cokelat muda; citra lebih tampak lantai keras/beige, kayu hanya bangku. | Lantai disebut kayu cokelat muda; visual lebih tampak lantai krem/non-kayu. | Menyebut lantai kayu cokelat muda."
1 (6845).jpg,gemma_depth_constrained_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,3.3333333333333335,4.0,5.0,4.0,0.0,"Area bawah-kanan adalah lantai foreground dekat kamera. | Area bawah-kanan tampak dekat kamera. | Karpet oranye di bawah-tengah/foreground. | Karpet oranye di lantai depan-tengah. | Karpet oranye di lantai foreground-tengah. | Panel kayu di kiri. | Panel kayu/partisi di kiri. | Panel kayu/railing di kiri. | Pintu/jendela kaca besar di kanan menghadap luar. | Pintu/jendela kaca besar di kanan. | Tangga berada belakang-tengah, memanjang kiri-kanan. | Tangga naik di tengah-belakang. | Tangga ubin berada tengah-belakang.","'Tangga batu' kurang pasti; tampak tangga berubin/keramik. | Depth bawah-kanan sedang agak meragukan secara visual. | Depth region bawah-kanan disebut sedang; visual tampak dekat. | Kategori kedalaman bawah-kanan sedang meragukan; tampak dekat. | Lokasi tangga disebut sisi kiri, bukan tengah-belakang. | Posisi tangga disebut sisi kiri; citra menunjukkan tengah-belakang."
1 (7245).jpg,gemma_depth_constrained_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,2.0,3.0,4.0,3.0,0.0,"Area bawah-kiri = lantai dekat kamera. | Area bawah-kiri berada dekat kamera. | Dinding terang kiri-kanan. | Lantai mengilap/reflektif. | Lorong panjang posisi tengah. | Lorong panjang terlihat menuju titik hilang tengah. | Lorong tengah memanjang ke belakang. | Region bawah-kiri berada di foreground, tampak dekat.","Arah kejauhan disebut di kedua sisi; visual dominan ke tengah/depan. | Depth 3x3 bawah-kiri diklaim jauh; visualnya dekat. | Depth grid bawah-kiri disebut jauh; visual menunjukkan dekat. | Depth grid: bawah-kiri disebut jauh, visualnya dekat."
1 (7248).jpg,gemma_depth_constrained_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.666666666666667,3.6666666666666665,4.666666666666667,5.0,4.666666666666667,0.4714045207910317,Area bawah-kiri berada dekat kamera/foreground. | Area ujung berdinding merah. | Area ujung tampak dinding/ruang merah. | Dinding kiri-kanan terang. | Dinding kiri/kanan terang; lantai krem mengilap. | Dinding samping terang; lantai krem mengilap. | Koridor memanjang ke tengah gambar. | Lantai krem/cokelat muda. | Lorong indoor memanjang ke tengah. | Lorong memanjang pusat citra. | Ruang tengah depan relatif kosong; tidak ada obstacle jalur utama. | Ujung lorong/ruang belakang berdinding merah.,Depth grid bawah-kiri disebut sedang; visual lebih dekat.
1 (7252).jpg,gemma_depth_constrained_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,5.0,4.0,5.0,5.0,5.0,0.0,"Area depan tengah lapang tanpa halangan besar. | Area tengah depan kosong; pot tanaman jauh di tengah. | Dinding kanan terang; kiri sebagian biru/gelap. | Dinding kanan/kiri terang; sisi kiri ada panel biru/gelap. | Dinding terang kanan/kiri, pintu/ceruk kanan. | Lantai cokelat-kuning reflektif. | Lantai glossy cokelat-kuning. | Lantai mengilap cokelat-kekuningan. | Lorong memanjang ke titik hilang tengah. | Lorong panjang pusat citra → vanishing point jauh. | Lorong panjang pusat citra. | Tidak ada obstacle utama; pot jauh kecil. | Ujung lorong jauh tampak terang; pot tanaman kecil di ujung.",
1 (7254).jpg,gemma_depth_constrained_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.666666666666667,3.6666666666666665,4.666666666666667,5.0,4.333333333333333,0.4714045207910317,Area depan relatif lapang tanpa halangan besar. | Area tengah depan relatif lapang tanpa halangan besar. | Deretan lemari/pajangan kaca di sisi kanan. | Koridor indoor memanjang ke belakang. | Lantai reflektif/mengkilap. | Lorong indoor panjang terlihat jelas. | Lorong memanjang ke titik hilang tengah. | Ruang tengah relatif lapang tanpa halangan besar. | Sisi kanan: deretan lemari/panel kaca sepanjang lorong.,Depth region tengah-kanan jauh dibanding region lain tidak kuat; kedalaman utama tampak di tengah.
