image_name,source_subset,main_object,object_position,distance_annotation_basis,annotation_confidence,distance_category,has_obstacle,obstacle_warning,front_area_status,open_area,safer_direction,notes,annotation_status,audit_decision
indoor_006.webp,original_30,galon air,kiri,visual_relative,medium,sangat_dekat,yes,potensi_halangan_visual,terhalang,area_kanan_relatif_lapang,kanan,galon air sangat dekat pada kiri bawah dan relevan sebagai potensi halangan,validated_keep,kept_from_original_30_after_visual_audit
indoor_029.webp,original_30,kursi,tengah,visual_relative,medium,sangat_dekat,yes,potensi_halangan_visual,terhalang,area_kanan_relatif_lapang,kanan,kursi sangat dekat dan menutup area tengah gambar,validated_keep,kept_from_original_30_after_visual_audit
indoor_001.webp,original_30,kipas angin,kanan,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_tengah_relatif_lapang,tengah,kipas angin dekat di kanan depan; area tengah relatif lebih terbuka dibanding sisi kiri dan kanan,validated_keep,kept_from_original_30_after_visual_audit
indoor_022.webp,original_30,pintu,kiri,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_kanan_relatif_lapang,kanan,pintu terbuka dekat di kiri dapat menjadi potensi halangan walau koridor kanan masih terlihat,validated_keep,kept_from_original_30_after_visual_audit
indoor_005.webp,original_30,kulkas,kanan,visual_relative,medium,sedang,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_kiri_relatif_lapang,kiri,kulkas berada di kanan tetapi jalur kiri-tengah masih terlihat terbuka,validated_keep,kept_from_original_30_after_visual_audit
1 (6083).jpg,sample_new_balancing_medium_far,bangku ruang ganti,kanan,visual_relative,medium,sedang,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_tengah_relatif_lapang,tengah,bangku panjang berada di kanan tetapi area lantai depan relatif lapang,validated_keep,added_to_balance_sedang_jauh_and_scene_variety
1 (34).jpg,sample_new_balancing_medium_far,meja konsol,tengah,visual_relative,medium,sedang,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_tengah_relatif_lapang,tengah,meja berada di tengah tetapi area depan masih relatif terbuka,validated_keep,added_to_balance_sedang_jauh_and_scene_variety
1 (7248).jpg,sample_new_balancing_medium_far,lorong,tengah,visual_relative,medium,jauh,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_tengah_relatif_lapang,tengah,lorong indoor memanjang dengan objek kecil di ujung jauh dan area depan kosong,validated_keep,added_to_balance_sedang_jauh_and_scene_variety
1 (7254).jpg,sample_new_balancing_medium_far,lorong,tengah,visual_relative,medium,jauh,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_tengah_relatif_lapang,tengah,koridor panjang dengan area depan kosong dan struktur jauh di ujung,validated_keep,added_to_balance_sedang_jauh_and_scene_variety
indoor_013.webp,original_30,pintu,tengah,visual_relative,medium,jauh,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_tengah_relatif_lapang,tengah,pintu berada jauh dan lantai depan terlihat kosong,validated_keep,kept_from_original_30_after_visual_audit
