image_name,source_subset,main_object,object_position,distance_annotation_basis,annotation_confidence,distance_category,has_obstacle,obstacle_warning,front_area_status,open_area,safer_direction,notes,annotation_status,audit_decision
indoor_001.webp,original_30,kipas angin,kanan,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_tengah_relatif_lapang,tengah,kipas angin dekat di kanan depan; area tengah relatif lebih terbuka dibanding sisi kiri dan kanan,validated_keep,kept_from_original_30_after_visual_audit
indoor_002.webp,original_30,kipas angin,kanan,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_tengah_relatif_lapang,tengah,kipas angin sangat menonjol di kanan depan; label lama lemari plastik kurang tepat untuk halangan terdekat,validated_keep,kept_from_original_30_after_visual_audit
indoor_003.webp,original_30,meja kerja,tengah,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_kiri_relatif_lapang,kiri,meja kerja dan kursi memenuhi area depan-tengah sehingga menjadi objek dominan dekat,validated_keep,kept_from_original_30_after_visual_audit
indoor_004.webp,original_30,tumpukan barang,kanan,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_kiri_relatif_lapang,kiri,koper kardus dan pakaian menumpuk di kanan dekat lorong,validated_keep,kept_from_original_30_after_visual_audit
indoor_005.webp,original_30,kulkas,kanan,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_kiri_relatif_lapang,kiri,kulkas dekat di kanan depan dan menutup sisi kanan jalur visual; area kiri masih relatif lapang,corrected_revalidation_batch_01,distance_and_obstacle_corrected_after_5_image_revalidation
indoor_006.webp,original_30,galon air,kiri,visual_relative,medium,sangat_dekat,yes,potensi_halangan_visual,terhalang,area_kanan_relatif_lapang,kanan,galon air sangat dekat pada kiri bawah dan relevan sebagai potensi halangan,validated_keep,kept_from_original_30_after_visual_audit
indoor_007.webp,original_30,kantong belanja,kanan,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_tengah_relatif_lapang,tengah,kantong belanja berada dekat di kanan bawah dekat ambang pintu,validated_keep,kept_from_original_30_after_visual_audit
indoor_008.webp,original_30,ember,kiri,visual_relative,low,dekat,yes,potensi_halangan_visual,terhalang,tidak_diketahui,tidak_diketahui,ember besar dekat di kiri bawah kamar mandi; ruang kecil membuat arah relatif lapang tidak jelas,validated_keep,kept_from_original_30_after_visual_audit
indoor_009.webp,original_30,ember,kiri,visual_relative,low,dekat,yes,potensi_halangan_visual,terhalang,tidak_diketahui,tidak_diketahui,ember besar dekat di kiri bawah dan tempat sampah dekat di kanan; area relatif lapang tidak jelas,corrected_revalidation_batch_02,open_area_corrected_after_5_image_revalidation
indoor_010.webp,original_30,wastafel,kanan,visual_relative,low,dekat,yes,potensi_halangan_visual,terhalang,tidak_diketahui,tidak_diketahui,wastafel dan counter dekat di kanan depan; scene close-up sehingga area relatif lapang tidak jelas,corrected_revalidation_batch_02,position_and_open_area_corrected_after_5_image_revalidation
indoor_011.webp,original_30,galon air,kanan,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_kiri_relatif_lapang,kiri,galon air dan area dapur kanan berada dekat sehingga perlu diperlakukan sebagai potensi halangan,validated_keep,kept_from_original_30_after_visual_audit
indoor_012.webp,original_30,magic com,kiri,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_kanan_relatif_lapang,kanan,magic com dekat di kiri depan lorong; sisi kanan-tengah terlihat lebih lapang,validated_keep,kept_from_original_30_after_visual_audit
indoor_013.webp,original_30,pintu,tengah,visual_relative,medium,jauh,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_tengah_relatif_lapang,tengah,pintu berada jauh dan lantai depan terlihat kosong,validated_keep,kept_from_original_30_after_visual_audit
indoor_014.webp,original_30,bantal lantai,kiri,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_kanan_relatif_lapang,kanan,bantal dan kantong plastik dekat di lantai kiri lebih relevan sebagai halangan dibanding kasur,validated_keep,kept_from_original_30_after_visual_audit
indoor_015.webp,original_30,koper,kiri,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_tengah_relatif_lapang,tengah,koper dekat di kiri depan dan rak sepatu berada di belakangnya; area tengah lantai tetap relatif lapang,corrected_revalidation_batch_03,distance_and_obstacle_corrected_after_5_image_revalidation
indoor_016.webp,original_30,lemari plastik,kanan,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_kiri_relatif_lapang,kiri,lemari plastik dekat di kanan dan kasur di kiri membuat ruang depan terbatas,validated_keep,kept_from_original_30_after_visual_audit
indoor_017.webp,original_30,meja kerja,kanan,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_kiri_relatif_lapang,kiri,meja kerja dan perangkat mikrofon sangat dekat di kanan depan,validated_keep,kept_from_original_30_after_visual_audit
indoor_018.webp,original_30,kantong belanja,kanan,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_tengah_relatif_lapang,tengah,kantong belanja dekat di kanan bawah sehingga relevan sebagai potensi halangan,validated_keep,kept_from_original_30_after_visual_audit
indoor_019.webp,original_30,kulkas,kanan,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_kiri_relatif_lapang,kiri,kulkas dekat di kanan depan dan menutup sisi kanan jalur visual; lorong kiri-tengah masih relatif lapang,corrected_revalidation_batch_04,distance_and_obstacle_corrected_after_5_image_revalidation
indoor_020.webp,original_30,kompor,tengah,visual_relative,low,dekat,yes,potensi_halangan_visual,terhalang,tidak_diketahui,tidak_diketahui,kompor dan barang dapur memenuhi area depan; ini scene close-up bukan jalur berjalan,validated_keep,kept_from_original_30_after_visual_audit
indoor_021.webp,original_30,wastafel,kiri,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_tengah_relatif_lapang,tengah,wastafel berada dekat di kiri dan pintu kamar mandi di kanan membuat ruang depan terbatas,validated_keep,kept_from_original_30_after_visual_audit
indoor_022.webp,original_30,pintu,kiri,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_kanan_relatif_lapang,kanan,pintu terbuka dekat di kiri dapat menjadi potensi halangan walau koridor kanan masih terlihat,validated_keep,kept_from_original_30_after_visual_audit
indoor_023.webp,original_30,pintu,tengah,visual_relative,medium,jauh,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_tengah_relatif_lapang,tengah,pintu berada jauh dan koridor tengah terlihat kosong,validated_keep,kept_from_original_30_after_visual_audit
indoor_024.webp,original_30,pintu,kiri,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_kanan_relatif_lapang,kanan,pintu terbuka dekat di kiri dan objek kecil di lantai membuat area depan perlu diperhatikan,validated_keep,kept_from_original_30_after_visual_audit
indoor_025.webp,original_30,kursi,kanan,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_kiri_relatif_lapang,kiri,kursi putih dekat di kanan depan meja kerja,validated_keep,kept_from_original_30_after_visual_audit
indoor_026.webp,original_30,rak sepatu,kanan,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_kiri_relatif_lapang,kiri,rak sepatu dan sepatu berada dekat di kanan depan; area kiri-tengah masih relatif lapang,corrected_revalidation_batch_06,distance_and_obstacle_corrected_after_5_image_revalidation
indoor_027.webp,original_30,kipas angin,kanan,visual_relative,medium,sedang,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_tengah_relatif_lapang,tengah,kipas angin berada di kanan tengah tetapi lantai depan masih cukup terbuka,validated_keep,kept_from_original_30_after_visual_audit
indoor_028.webp,original_30,meja komputer,tengah,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_kiri_relatif_lapang,kiri,meja komputer dan mikrofon sangat dekat memenuhi bagian depan,validated_keep,kept_from_original_30_after_visual_audit
indoor_029.webp,original_30,kursi,tengah,visual_relative,medium,sangat_dekat,yes,potensi_halangan_visual,terhalang,area_kanan_relatif_lapang,kanan,kursi sangat dekat dan menutup area tengah gambar,validated_keep,kept_from_original_30_after_visual_audit
indoor_030.webp,original_30,pintu,kiri,visual_relative,medium,dekat,yes,potensi_halangan_visual,terhalang,area_kanan_relatif_lapang,kanan,pintu terbuka sangat dominan di kiri depan dan menyisakan koridor di kanan,validated_keep,kept_from_original_30_after_visual_audit
1 (34).jpg,sample_new_balancing_medium_far,meja konsol,tengah,visual_relative,medium,sedang,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_tengah_relatif_lapang,tengah,meja berada di tengah tetapi area depan masih relatif terbuka,validated_keep,added_to_balance_sedang_jauh_and_scene_variety
1 (1030).jpg,sample_new_balancing_medium_far,mesin cuci,kanan,visual_relative,medium,sedang,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_kiri_relatif_lapang,kiri,deretan mesin cuci berada di sisi kanan-tengah dan area lantai depan masih relatif terbuka,validated_keep,added_to_balance_sedang_jauh_and_scene_variety
1 (8391).jpg,sample_new_balancing_medium_far,tangga,tengah,visual_relative,medium,sedang,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_tengah_relatif_lapang,tengah,tangga menjadi struktur dominan di tengah ruangan; area depan masih relatif terbuka,corrected_revalidation_batch_07,main_object_corrected_after_5_image_revalidation
1 (8466).jpg,sample_new_balancing_medium_far,kabinet dapur,kiri,visual_relative,medium,sedang,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_tengah_relatif_lapang,tengah,kabinet dapur berada di sisi kiri sementara jalur tengah menuju pintu masih relatif lapang,validated_keep,added_to_balance_sedang_jauh_and_scene_variety
1 (8477).jpg,sample_new_balancing_medium_far,meja ruang tamu,tengah,visual_relative,medium,sedang,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_kiri_relatif_lapang,kiri,meja dan kursi berada di tengah tetapi tidak sangat dekat dengan kamera,validated_keep,added_to_balance_sedang_jauh_and_scene_variety
1 (8553).jpg,sample_new_balancing_medium_far,lorong,tengah,visual_relative,medium,jauh,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_tengah_relatif_lapang,tengah,lorong indoor relatif kosong tanpa objek dekat yang jelas; struktur dominan berada jauh,corrected_revalidation_batch_08,distance_corrected_after_5_image_revalidation
1 (6083).jpg,sample_new_balancing_medium_far,bangku ruang ganti,kanan,visual_relative,medium,sedang,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_tengah_relatif_lapang,tengah,bangku panjang berada di kanan tetapi area lantai depan relatif lapang,validated_keep,added_to_balance_sedang_jauh_and_scene_variety
1 (6082).jpg,sample_new_balancing_medium_far,bangku ruang ganti,kanan,visual_relative,medium,sedang,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_tengah_relatif_lapang,tengah,bangku berada di kanan dan belakang sementara area depan tengah cukup kosong,validated_keep,added_to_balance_sedang_jauh_and_scene_variety
1 (6845).jpg,sample_new_balancing_medium_far,tangga,tengah,visual_relative,medium,sedang,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_tengah_relatif_lapang,tengah,tangga berada di tengah belakang dengan area karpet depan relatif lapang,validated_keep,added_to_balance_sedang_jauh_and_scene_variety
1 (6169).jpg,sample_new_balancing_medium_far,bangku,kanan,visual_relative,medium,sedang,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_kiri_relatif_lapang,kiri,bangku sempit berada di kanan agak jauh dengan ruang depan cukup lapang,corrected_revalidation_batch_08,position_corrected_after_5_image_revalidation
1 (7248).jpg,sample_new_balancing_medium_far,lorong,tengah,visual_relative,medium,jauh,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_tengah_relatif_lapang,tengah,lorong indoor memanjang dengan objek kecil di ujung jauh dan area depan kosong,validated_keep,added_to_balance_sedang_jauh_and_scene_variety
1 (7254).jpg,sample_new_balancing_medium_far,lorong,tengah,visual_relative,medium,jauh,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_tengah_relatif_lapang,tengah,koridor panjang dengan area depan kosong dan struktur jauh di ujung,validated_keep,added_to_balance_sedang_jauh_and_scene_variety
1 (7252).jpg,sample_new_balancing_medium_far,lorong,tengah,visual_relative,medium,jauh,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_tengah_relatif_lapang,tengah,lorong panjang dengan pot tanaman jauh di tengah belakang dan area depan kosong,validated_keep,added_to_balance_sedang_jauh_and_scene_variety
1 (7245).jpg,sample_new_balancing_medium_far,lorong,tengah,visual_relative,medium,jauh,no,tidak_ada_potensi_halangan_dekat,relatif_lapang,area_tengah_relatif_lapang,tengah,koridor indoor panjang dengan area depan kosong dan objek jauh di ujung,validated_keep,added_to_balance_sedang_jauh_and_scene_variety
