image_name,main_object,object_position,distance_annotation_basis,annotation_confidence,distance_category,has_obstacle,front_area_status,safer_direction,notes
indoor_001.webp,kipas angin,kanan,visual_relative,medium,dekat,yes,terhalang,tengah,kipas angin dekat di kanan depan; area tengah relatif lebih terbuka dibanding sisi kiri dan kanan
indoor_002.webp,kipas angin,kanan,visual_relative,medium,dekat,yes,terhalang,tengah,kipas angin sangat menonjol di kanan depan; label lama lemari plastik kurang tepat untuk halangan terdekat
indoor_003.webp,meja kerja,tengah,visual_relative,medium,dekat,yes,terhalang,kiri,meja kerja dan kursi memenuhi area depan-tengah sehingga menjadi objek dominan dekat
indoor_004.webp,tumpukan barang,kanan,visual_relative,medium,dekat,yes,terhalang,kiri,koper kardus dan pakaian menumpuk di kanan dekat lorong
indoor_005.webp,kulkas,kanan,visual_relative,medium,sedang,no,relatif_lapang,kiri,kulkas berada di kanan tetapi jalur kiri-tengah masih terlihat terbuka
indoor_006.webp,galon air,kiri,visual_relative,medium,sangat_dekat,yes,terhalang,kanan,galon air sangat dekat pada kiri bawah dan relevan sebagai potensi halangan
indoor_007.webp,kantong belanja,kanan,visual_relative,medium,dekat,yes,terhalang,tengah,kantong belanja berada dekat di kanan bawah dekat ambang pintu
indoor_008.webp,ember,kiri,visual_relative,low,dekat,yes,terhalang,tidak_diketahui,ember besar dekat di kiri bawah kamar mandi; ruang kecil membuat arah relatif lapang tidak jelas
indoor_009.webp,ember,kiri,visual_relative,medium,dekat,yes,terhalang,kanan,ember besar dekat di kiri bawah dan tempat sampah berada di kanan sehingga area depan terbatas
indoor_010.webp,wastafel,tengah,visual_relative,medium,dekat,yes,terhalang,kiri,wastafel dan area rak piring dekat memenuhi bagian depan gambar
indoor_011.webp,galon air,kanan,visual_relative,medium,dekat,yes,terhalang,kiri,galon air dan area dapur kanan berada dekat sehingga perlu diperlakukan sebagai potensi halangan
indoor_012.webp,magic com,kiri,visual_relative,medium,dekat,yes,terhalang,kanan,magic com dekat di kiri depan lorong; sisi kanan-tengah terlihat lebih lapang
indoor_013.webp,pintu,tengah,visual_relative,medium,jauh,no,relatif_lapang,tengah,pintu berada jauh dan lantai depan terlihat kosong
indoor_014.webp,bantal lantai,kiri,visual_relative,medium,dekat,yes,terhalang,kanan,bantal dan kantong plastik dekat di lantai kiri lebih relevan sebagai halangan dibanding kasur
indoor_015.webp,koper,kiri,visual_relative,medium,sedang,no,relatif_lapang,tengah,koper dan rak sepatu berada di sisi kiri tetapi area tengah lantai masih lapang
indoor_016.webp,lemari plastik,kanan,visual_relative,medium,dekat,yes,terhalang,kiri,lemari plastik dekat di kanan dan kasur di kiri membuat ruang depan terbatas
indoor_017.webp,meja kerja,kanan,visual_relative,medium,dekat,yes,terhalang,kiri,meja kerja dan perangkat mikrofon sangat dekat di kanan depan
indoor_018.webp,kantong belanja,kanan,visual_relative,medium,dekat,yes,terhalang,tengah,kantong belanja dekat di kanan bawah sehingga relevan sebagai potensi halangan
indoor_019.webp,kulkas,kanan,visual_relative,medium,sedang,no,relatif_lapang,kiri,kulkas berada di kanan tetapi lorong kiri-tengah masih dapat dibaca sebagai area terbuka
indoor_020.webp,kompor,tengah,visual_relative,low,dekat,yes,terhalang,tidak_diketahui,kompor dan barang dapur memenuhi area depan; ini scene close-up bukan jalur berjalan
indoor_021.webp,wastafel,kiri,visual_relative,medium,dekat,yes,terhalang,tengah,wastafel berada dekat di kiri dan pintu kamar mandi di kanan membuat ruang depan terbatas
indoor_022.webp,pintu,kiri,visual_relative,medium,dekat,yes,terhalang,kanan,pintu terbuka dekat di kiri dapat menjadi potensi halangan walau koridor kanan masih terlihat
indoor_023.webp,pintu,tengah,visual_relative,medium,jauh,no,relatif_lapang,tengah,pintu berada jauh dan koridor tengah terlihat kosong
indoor_024.webp,pintu,kiri,visual_relative,medium,dekat,yes,terhalang,kanan,pintu terbuka dekat di kiri dan objek kecil di lantai membuat area depan perlu diperhatikan
indoor_025.webp,kursi,kanan,visual_relative,medium,dekat,yes,terhalang,kiri,kursi putih dekat di kanan depan meja kerja
indoor_026.webp,rak sepatu,kanan,visual_relative,medium,sedang,no,relatif_lapang,kiri,rak sepatu dan koper berada di kanan; area kiri-tengah masih kosong
indoor_027.webp,kipas angin,kanan,visual_relative,medium,sedang,no,relatif_lapang,tengah,kipas angin berada di kanan tengah tetapi lantai depan masih cukup terbuka
indoor_028.webp,meja komputer,tengah,visual_relative,medium,dekat,yes,terhalang,kiri,meja komputer dan mikrofon sangat dekat memenuhi bagian depan
indoor_029.webp,kursi,tengah,visual_relative,medium,sangat_dekat,yes,terhalang,kanan,kursi sangat dekat dan menutup area tengah gambar
indoor_030.webp,pintu,kiri,visual_relative,medium,dekat,yes,terhalang,kanan,pintu terbuka sangat dominan di kiri depan dan menyisakan koridor di kanan
