image_name,main_object,object_position,distance_annotation_basis,annotation_confidence,distance_category,has_obstacle,front_area_status,safer_direction,notes
1 (5).jpg,tempat tidur bayi,tengah,visual_relative,medium,dekat,yes,terhalang,kiri,tempat tidur bayi memenuhi area depan dan menjadi objek dominan dekat
1 (31).jpg,rak toko,kanan,visual_relative,medium,dekat,yes,terhalang,kiri,rak produk berada dekat di kanan depan dengan lorong relatif terbuka di kiri
1 (8390).jpg,pot tanaman,kiri,visual_relative,medium,dekat,yes,terhalang,tengah,pot tanaman dekat di kiri bawah sementara area tengah tangga lebih terbuka
1 (40).jpg,tangga putar,tengah,visual_relative,medium,dekat,yes,terhalang,kiri,anak tangga berada dekat dan memenuhi area tengah depan
1 (34).jpg,meja konsol,tengah,visual_relative,medium,sedang,no,relatif_lapang,tengah,meja berada di tengah tetapi area depan masih relatif terbuka
1 (6083).jpg,bangku ruang ganti,kanan,visual_relative,medium,sedang,no,relatif_lapang,tengah,bangku panjang berada di kanan tetapi area lantai depan relatif lapang
1 (6082).jpg,bangku ruang ganti,kanan,visual_relative,medium,sedang,no,relatif_lapang,tengah,bangku berada di kanan dan belakang sementara area depan tengah cukup kosong
1 (6845).jpg,tangga,tengah,visual_relative,medium,sedang,no,relatif_lapang,tengah,tangga berada di tengah belakang dengan area karpet depan relatif lapang
1 (7248).jpg,lorong,tengah,visual_relative,medium,jauh,no,relatif_lapang,tengah,lorong indoor memanjang dengan objek kecil di ujung jauh dan area depan kosong
1 (7254).jpg,lorong,tengah,visual_relative,medium,jauh,no,relatif_lapang,tengah,koridor panjang dengan area depan kosong dan struktur jauh di ujung
