image_name,mode,judge_model,rubric_version,repeat_count,semantic_correctness_mean,spatial_accuracy_mean,groundedness_mean,clarity_mean,overall_mean,overall_stddev,visual_evidence_union,critical_error_union
1 (1030).jpg,depth_only,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,4.0,4.0,5.0,4.0,0.0,"Area kiri/depan kiri lebih kosong, lantai terlihat lapang. | Area kiri/lantai depan relatif kosong. | Area lantai/kiri depan tampak lebih kosong. | Deret mesin cuci di sisi kanan, sebagian dekat kamera bawah-kanan. | Deretan mesin cuci di sisi kanan, sebagian masuk foreground bawah-kanan. | Deretan mesin cuci di sisi kanan, sebagian sangat dekat foreground kanan-bawah. | Kedalaman sedang: ruang kecil, objek kanan dekat kamera. | Tidak tampak objek bebas menghalangi jalur utama.",Klaim 'berpotensi halangan' tidak sepenuhnya selaras dgn anotasi no obstacle. | Klaim potensi halangan visual kurang didukung; anotasi menyatakan tidak ada halangan. | Menyebut potensi halangan visual; label pembanding: has_obstacle=no.
1 (34).jpg,depth_only,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,3.0,3.3333333333333335,4.0,4.0,3.3333333333333335,0.4714045207910317,"Area tengah bawah ada ruang lantai terbuka. | Area tengah bawah relatif kosong/lapang. | Area tengah bawah relatif terbuka. | Kedalaman relatif indoor tampak sedang. | Kursi foreground terlihat di bawah-kiri dan bawah-kanan. | Kursi kanan-bawah berada foreground, paling dekat. | Kursi terlihat di kiri-bawah dan kanan-bawah, keduanya dekat foreground. | Meja konsol berada di tengah depan jendela. | Meja konsol berada di tengah. | Meja konsol berada tengah, jarak sedang.",Klaim bawah-kanan paling dekat kurang kuat karena kiri-bawah juga foreground. | Mengabaikan kursi bawah-kiri yg juga dekat. | Mengabaikan objek utama: meja konsol tengah. | Menyebut potensi halangan meski jalur tengah tampak lapang dan label has_obstacle=no. | Status halangan agak berlebih vs label no obstacle. | Status halangan dibesar-besarkan; area tengah tetap lapang. | Tidak menyebut objek utama: meja konsol.
1 (6082).jpg,depth_only,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,3.0,2.6666666666666665,3.0,3.3333333333333335,3.0,0.0,"Area lantai tengah kosong/lapang. | Area tengah lantai kosong/lapang. | Bangku memanjang di sisi kanan, masuk foreground. | Bangku panjang di sisi kanan, berlanjut ke belakang. | Bangku ruang ganti dominan di kanan. | Bawah-kanan berisi bangku foreground dekat, bukan jauh. | Ruang tampak jarak sedang, bukan jauh ekstrem. | Tidak tampak halangan besar di jalur tengah.",Kategori jarak jauh tidak cocok dgn visual/label sedang. | Kedalaman bawah-kanan diklaim 'jauh' meski area dekat foreground. | Kedalaman bawah-kanan disebut 'jauh' meski area kanan/foreground tampak dekat-sedang. | Kontradiksi internal: 'paling dekat' tetapi 'kategori kedalaman relatif jauh'. | Kontradiksi internal: paling dekat tetapi kategori jauh. | Mengabaikan bangku kanan saat membahas bawah-kanan.
1 (6083).jpg,depth_only,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,3.0,2.6666666666666665,3.0,4.0,3.0,0.0,"Area lantai tengah terbuka tanpa objek penghalang besar. | Area tengah lantai relatif kosong. | Area tengah lantai relatif kosong/lapang. | Bangku juga ada di kiri, jadi kiri tidak dominan lebih lapang. | Bangku kanan depan tampak paling dekat. | Bangku panjang terlihat di kanan, memanjang ke foreground. | Bangku ruang ganti memanjang di kanan, tampak paling dekat foreground. | Bangku ruang ganti menempel dinding kanan dan kiri. | Bangku/hanger juga ada di kiri, jadi kiri bukan area paling lapang. | Objek kanan depan tampak paling dekat. | Tidak tampak halangan besar di jalur tengah.",Kategori jarak 'jauh' bertentangan dengan label 'sedang' dan visual kanan dekat. | Klaim kiri lebih lapang kurang didukung; tengah lebih jelas lapang. | Lokasi terdekat digeneralisasi sebagai tengah-kanan. | Menyatakan kiri lebih lapang; visual/anotasi: tengah lebih lapang. | Menyebut kategori kedalaman jauh; label: sedang. | Menyebut tengah-kanan paling dekat; visual: bangku kanan depan paling dekat.
1 (6169).jpg,depth_only,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,3.6666666666666665,3.3333333333333335,3.6666666666666665,4.0,3.6666666666666665,0.4714045207910317,"Area kiri tampak lebih terbuka daripada kanan. | Bangku kecil di tengah-belakang lebih jauh. | Bangku kecil/objek di tengah-belakang. | Bangku panjang di kanan bawah/foreground → objek terdekat. | Bangku panjang di kanan-bawah/foreground paling dekat. | Bangku panjang terlihat kanan-bawah, dekat kamera. | Koridor sempit memanjang; jarak relatif sedang. | Koridor tengah-kiri kosong relatif lapang. | Lantai tengah-kiri terbuka/lapang. | Lorong tengah hingga belakang relatif kosong.","Menyebut area tengah relatif lebih lapang; bukti lebih mendukung kiri/tengah-kiri lapang. | Menyebut bawah-kanan berpotensi halangan visual vs label has_obstacle=no. | Menyebut potensi halangan; label menyatakan no_obstacle, visual masih ada ruang lewat. | Potensi halangan agak overstated vs jalur terbuka/anotasi no obstacle. | Tidak menyebut objek utama eksplisit: bangku."
1 (6845).jpg,depth_only,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,2.3333333333333335,2.0,3.0,4.0,2.3333333333333335,0.4714045207910317,"Area depan/tengah berupa lantai/karpet relatif terbuka. | Area lantai/tengah relatif terbuka. | Area tengah/lantai depan relatif terbuka. | Bawah-kanan berisi kusen/pintu kaca dekat, bukan halangan utama jalur. | Bawah-kanan berisi lantai/kaca, bukan halangan jelas. | Bawah-kanan dekat kamera, tetapi tidak tampak objek penghalang dominan. | Tangga terlihat di tengah belakang. | Tangga terlihat di tengah depan. | Tangga terlihat di tengah-belakang.","Mengklaim bawah-kanan berpotensi halangan visual tanpa bukti kuat. | Menyatakan bawah-kanan berpotensi halangan, bertentangan dgn label no obstacle/citra jalur terbuka. | Menyatakan potensi halangan bawah-kanan tanpa bukti kuat. | Tidak menyebut tangga sebagai objek utama. | Tidak menyebut tangga utama."
1 (7245).jpg,depth_only,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,4.0,4.0,4.0,4.0,0.0,"Area tengah terbuka/lapang. | Citra: lorong memanjang di tengah. | Citra: lorong panjang di tengah. | Citra: lorong panjang, area tengah terbuka. | Foreground bawah lebih dekat secara perspektif. | Lantai bawah-kiri dekat kamera, kosong. | Lantai depan kosong; tidak ada objek penghalang kuat. | Perspektif menunjukkan foreground bawah lebih dekat. | Tidak tampak objek menghalangi jalur.",
1 (7248).jpg,depth_only,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,3.0,2.3333333333333335,3.0,4.0,3.0,0.0,"Area tengah/lantai depan relatif kosong. | Bawah-kiri hanya area lantai/dinding dekat kamera, tanpa objek penghalang. | Lantai depan kosong; jalur tengah terbuka. | Lantai/area tengah kosong relatif lapang. | Lorong memanjang di tengah. | Objek jauh di ujung lorong. | Tidak tampak objek penghalang di bawah-kiri. | Ujung lorong jauh terlihat di tengah-belakang.",Fokus area terdekat bawah-kiri kurang relevan utk navigasi lorong. | Kategori kedalaman sedang bertentangan dgn label jarak jauh. | Kategori kedalaman sedang vs anotasi jauh. | Kategori kedalaman sedang → label jauh. | Menganggap bawah-kiri berpotensi halangan visual tanpa bukti objek. | Menyebut bawah-kiri berpotensi halangan visual. | Menyebut bawah-kiri paling dekat → tidak relevan/kurang terbukti. | Menyebut potensi halangan visual → bertentangan dengan citra+label no obstacle.
1 (7252).jpg,depth_only,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,3.0,4.0,3.6666666666666665,4.0,0.0,Area tengah lantai kosong → relatif lapang. | Area tengah lantai kosong/lapang. | Bagian dekat kamera/tepi kanan-kiri lebih dekat daripada tengah-kanan jauh. | Citra: lorong memanjang ke tengah-belakang. | Dinding/doorframe kanan foreground lebih dekat daripada tengah-kanan. | Lorong memanjang ke tengah belakang. | Lorong memanjang ke tengah. | Sisi kanan-depan/foreground lebih dekat daripada tengah-kanan. | Tidak ada objek menghalangi jalur utama. | Tidak tampak objek menghalangi jalur utama. | Tidak tampak objek menghalangi jalur.,Frasa 'paling dekat' + 'kategori jauh' kontradiktif. | Klaim 'tengah-kanan paling dekat' kurang akurat/ambigu. | Lokasi 'tengah-kanan paling dekat' meragukan/kurang akurat. | Lokasi area paling dekat kurang akurat.
1 (7254).jpg,depth_only,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,3.0,3.6666666666666665,4.0,3.6666666666666665,0.4714045207910317,"Area tengah/depan tampak kosong/lapang. | Citra: lorong panjang indoor. | Citra: lorong panjang, pusat terbuka/lapang. | Foreground bawah lebih dekat daripada tengah-kanan. | Foreground bawah paling dekat secara perspektif. | Lantai tengah kosong/lapang. | Lorong memanjang ke tengah. | Sisi kanan berisi lemari/kaca sepanjang dinding, bukan area bebas terdekat. | Tidak tampak halangan besar di jalur tengah. | Tidak tampak halangan signifikan di jalur tengah. | Tidak tampak objek penghalang utama di jalur tengah.",Posisi 'tengah-kanan paling dekat' lemah/tidak sesuai perspektif visual. | Posisi area paling dekat: tengah-kanan → tidak kuat/keliru. | Salah posisi area paling dekat: tengah-kanan vs foreground/bawah.
