image_name,mode,judge_model,rubric_version,repeat_count,semantic_correctness_mean,spatial_accuracy_mean,groundedness_mean,clarity_mean,overall_mean,overall_stddev,visual_evidence_union,critical_error_union
1 (1030).jpg,gemma_depth_legacy_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.333333333333333,4.666666666666667,4.666666666666667,4.333333333333333,4.666666666666667,0.4714045207910317,"Area kiri depan relatif kosong/lapang. | Area kiri/depan lebih kosong dibanding sisi kanan berisi mesin. | Bagian kanan-bawah berisi mesin cuci lebih dekat ke kamera. | Bagian kanan-bawah dekat kamera berisi sisi mesin terpotong. | Deretan mesin cuci berada sepanjang dinding kanan/belakang. | Deretan mesin cuci di sisi kanan/menyusuri dinding. | Deretan mesin cuci terlihat sepanjang sisi kanan/dinding belakang. | Lantai ubin biru terlihat jelas. | Lantai ubin biru terlihat. | Objek kanan bawah tampak paling dekat, bukan halangan jalur dekat.",
1 (34).jpg,gemma_depth_legacy_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,4.0,4.333333333333333,4.666666666666667,4.0,0.0,"Area tengah bawah lantai tampak terbuka/relatif lapang. | Kursi kayu di kiri-kanan foreground. | Kursi kayu terlihat kiri-bawah dan kanan-bawah. | Lampu di atas meja, vas bunga kanan meja. | Lampu meja di atas konsol, vas bunga kanan atas meja. | Lampu meja di atas konsol, vas bunga kanan. | Lantai kayu terlihat; area tengah bawah relatif kosong. | Lantai kayu; area tengah bawah relatif kosong/lapang. | Meja konsol berada di tengah depan jendela. | Meja konsol di tengah depan jendela. | Meja konsol memanjang di tengah depan jendela.",Klaim bawah-kanan paling dekat agak ambigu/kurang relevan; terdapat kursi kanan sebagai objek foreground.
1 (6082).jpg,gemma_depth_legacy_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,2.6666666666666665,2.3333333333333335,2.6666666666666665,4.0,2.6666666666666665,0.4714045207910317,Area lantai tengah kosong relatif lapang. | Area lantai tengah relatif kosong. | Area tengah lantai relatif kosong. | Bangku panjang di sisi kanan dan belakang. | Bangku panjang menempel dinding kanan+belakang. | Bangku panjang menempel dinding kanan-belakang. | Bawah-kanan berisi ujung bangku/struktur dekat kamera. | Jendela di dinding kanan/atas. | Kanan-bawah dekat kamera berisi ujung bangku/struktur hijau. | Tidak tampak halangan besar di tengah.,"Bawah-kanan dekat berisi bangku → potensi halangan, bukan area jauh. | Kategori kedalaman 'jauh' tidak cocok; label sedang, visual ruang kecil. | Kategori kedalaman 'jauh' tidak cocok; label sedang. | Kedalaman bawah-kanan: dekat visual, bukan jauh. | Menyebut koridor/lorong. | Menyebut koridor/lorong; citra ruang ganti/ruang bangku. | Menyebut pagar kayu di kedua sisi. | Menyebut pagar kayu, bukan bangku ruang ganti. | Objek utama salah: pagar kayu/koridor vs bangku ruang ganti. | Status halangan kanan-bawah diremehkan; ada bangku dekat."
1 (6083).jpg,gemma_depth_legacy_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,2.0,2.0,2.0,3.3333333333333335,2.0,0.0,Ada deretan gantungan hitam di atas bangku. | Area lantai tengah relatif kosong/lapang. | Area tengah lantai relatif kosong. | Bangku kuning panjang di kanan bawah. | Bangku panjang kuning di sepanjang dinding kanan/kiri. | Deretan gantungan hitam di papan kuning atas. | Gantungan hitam berjajar di dinding. | Lantai tengah relatif kosong/lapang. | Objek kanan lebih dominan/dekat; bukan peralatan olahraga palang paralel. | Rangka merah penopang bangku. | Terlihat bangku panjang kuning di sepanjang dinding kanan/kiri. | Tidak tampak palang paralel olahraga.,"'Terbentang horizontal di lantai' menyesatkan: objek menempel/berada sepanjang dinding, bangku bertumpu lantai. | Frasa 'terbentang horizontal di lantai' rancu: bangku menempel dinding, bukan palang lantai. | Kategori kedalaman 'jauh' bertentangan label 'sedang'. | Kategori kedalaman relatif jauh bertentangan dgn label sedang/visual. | Kedalaman 'jauh' bertentangan dg label sedang/visual. | Klaim 'palang paralel' tidak sesuai citra. | Klaim peralatan terbentang horizontal di lantai tidak tepat. | Misidentifikasi bangku ruang ganti sebagai palang paralel/peralatan olahraga. | Misidentifikasi objek utama."
1 (6169).jpg,gemma_depth_legacy_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,4.333333333333333,4.0,4.666666666666667,4.0,0.0,"Area kiri lantai relatif kosong. | Area kiri/tengah lantai relatif kosong. | Bangku kayu panjang di kanan-bawah/foreground. | Bangku panjang kayu di kanan bawah/foreground. | Bangku panjang kayu di kanan/bawah-kanan. | Dinding putih, ruang memanjang, lampu plafon. | Koridor sempit berdinding putih. | Koridor sempit dinding terang. | Lantai tampak beige/ubin; kayu tidak pasti. | Objek kecil bangku/stool di tengah-belakang. | Objek terdekat: bangku kanan bawah.",Material lantai 'kayu' meragukan. | Material lantai disebut kayu; citra tidak jelas mendukung. | Material lantai kemungkinan keliru: bukan jelas kayu. | Region tengah tidak sepenuhnya kosong karena ada bangku kecil. | Tidak eksplisit arah aman kiri.
1 (6845).jpg,gemma_depth_legacy_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,4.0,4.333333333333333,5.0,4.0,0.0,"Area depan relatif terbuka; tidak ada objek besar menghalangi jalur tengah. | Area depan/tengah relatif lapang; tanpa halangan jelas. | Area lantai depan relatif terbuka. | Karpet oranye di foreground tengah. | Karpet oranye di lantai depan-tengah. | Panel kayu/partisi di kiri. | Panel kayu/planter di kiri. | Panel/railing kayu di kiri. | Pintu kaca besar di kanan. | Pintu/jendela kaca besar di kanan, luar terlihat. | Pintu/jendela kaca besar di kanan. | Tangga berada di tengah-belakang. | Tangga naik di tengah-belakang. | Tangga terlihat tengah-belakang.","Posisi tangga kurang tepat: bukan sisi kiri, melainkan tengah-belakang. | Posisi tangga salah: bukan kiri, melainkan tengah-belakang."
1 (7245).jpg,gemma_depth_legacy_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,3.3333333333333335,4.0,4.0,4.0,0.0,"Area tengah depan relatif kosong. | Area tengah/depan relatif kosong tanpa halangan jelas. | Dinding kiri-kanan terang. | Dinding kiri-kanan terang; pintu/akses di sisi kanan. | Dinding/pintu di sisi kiri-kanan. | Jalur tengah depan tampak kosong tanpa objek penghalang besar. | Koridor indoor panjang, titik hilang di tengah/depan. | Lantai mengilap reflektif. | Lantai mengilap/reflektif. | Lorong memanjang ke depan/tengah. | Lorong sempit memanjang dari foreground ke tengah-belakang. | Tidak tampak halangan besar di jalur tengah.","Ambiguitas arah: koridor bukan memanjang ke kejauhan di kedua sisi, melainkan ke depan. | Arah 'ke kejauhan di kedua sisi' kurang sesuai; kedalaman utama ke depan. | Arah 'ke kejauhan di kedua sisi' tidak sesuai perspektif utama. | Bawah-kiri 'paling dekat' sekaligus 'kategori jauh' ambigu. | Bawah-kiri disebut paling dekat sekaligus berkategori jauh. | Kontradiksi lokal: bawah-kiri paling dekat tetapi disebut kategori jauh."
1 (7248).jpg,gemma_depth_legacy_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,5.0,4.0,4.333333333333333,4.666666666666667,4.0,0.0,"Dinding terang, lantai krem mengilap. | Dinding/ruang merah di ujung koridor. | Foreground bawah lebih dekat secara perspektif. | Jalur tengah depan tampak kosong/lapang. | Jalur tengah terlihat kosong/lapang. | Koridor panjang di tengah. | Lantai krem kosong; area tengah relatif lapang. | Lorong indoor memanjang ke tengah. | Lorong indoor panjang, dinding terang, lantai krem. | Tidak tampak halangan dekat di depan. | Tidak tampak halangan dekat. | Ujung koridor berdinding merah. | Ujung koridor: area/ruang berdinding merah.",Kategori kedalaman 'sedang' berpotensi mismatch dgn anotasi 'jauh'. | Kategori kedalaman sedang kurang selaras dg anotasi jauh. | Klaim bawah-kiri paling dekat agak over-specific.
1 (7252).jpg,gemma_depth_legacy_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,3.3333333333333335,4.0,4.0,4.0,0.0,"Area tengah depan relatif kosong/lapang. | Area tengah lantai kosong hingga jauh; pot tanaman jauh di ujung. | Area tengah lantai kosong/lapang. | Dinding terang kanan/kiri; sisi kiri ada panel biru/gelap. | Foreground bawah paling dekat secara visual. | Lantai cokelat-kuning mengilap; dinding terang. | Lantai cokelat/kuning mengilap; dinding terang kanan, biru/gelap kiri. | Lantai mengilap cokelat-kekuningan. | Lorong indoor panjang membentang ke titik hilang tengah. | Lorong memanjang ke belakang; perspektif pusat. | Lorong panjang indoor terlihat jelas. | Obj kecil/pot tanaman jauh di tengah belakang. | Objek kecil/pot di ujung lorong jauh, bukan halangan depan.",'Paling dekat' vs 'kategori jauh' kontradiktif. | Frasa 'paling dekat' + 'kategori jauh' ambigu. | Kategori 'paling dekat' tetapi 'kedalaman relatif jauh' agak kontradiktif. | Kedalaman 'tengah-kanan paling dekat' tidak tepat/rancu. | Lokasi area paling dekat disebut tengah-kanan; visual lebih foreground bawah/tengah. | Lokasi paling dekat disebut tengah-kanan; bukti visual lebih foreground/tengah-bawah.
1 (7254).jpg,gemma_depth_legacy_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.666666666666667,3.3333333333333335,4.333333333333333,4.0,4.333333333333333,0.4714045207910317,Area tengah lantai relatif kosong/lapang. | Bagian bawah/foreground paling dekat secara perspektif. | Deretan lemari/pajangan kaca di sisi kanan | Deretan lemari/pajangan kaca di sisi kanan. | Jalur tengah depan kosong/lapang. | Jalur tengah relatif kosong/lapang | Koridor indoor memanjang ke belakang | Koridor panjang terlihat menuju kedalaman. | Lantai glossy/reflektif. | Lantai reflektif mengkilap. | Lantai reflektif/mengkilap | Lorong panjang terlihat ke arah tengah. | Sisi kanan: deretan kabinet/lemari kaca. | Tidak ada objek penghalang signifikan di jalur tengah.,"Estimasi 'tengah-kanan paling dekat' kurang akurat; area terdekat ada foreground bawah/tengah. | Frasa 'paling dekat' + 'kategori kedalaman jauh' ambigu/kontradiktif. | Kontradiksi internal: 'paling dekat' tetapi 'kategori jauh'. | Posisi terdalam/terdekat: tengah-kanan disebut paling dekat, tidak didukung citra. | Tengah-kanan disebut area paling dekat; visual menunjukkan foreground lebih dekat"
1 (8391).jpg,gemma_depth_legacy_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.333333333333333,2.6666666666666665,3.3333333333333335,3.6666666666666665,3.3333333333333335,0.4714045207910317,Area tengah-bawah relatif kosong/lapang. | Area tengah/bawah relatif kosong. | Bagian kanan-bawah berisi anak tangga/railing dekat kamera. | Bawah-kanan berisi anak tangga/tiang railing dekat kamera. | Bawah-kanan berisi tangga/tiang railing dekat kamera. | Lantai kayu area bawah/tengah relatif terbuka. | Lantai kayu terang. | Lantai kayu terlihat di bawah. | Railing putih sepanjang tangga. | Railing sepanjang tangga terlihat jelas. | Railing/pagar mengikuti tangga. | Tangga dominan di tengah-kanan. | Tangga kayu interior dominan tengah-kanan.,Bawah-kanan disebut paling dekat tetapi kategori jauh. | Bawah-kanan disebut paling dekat tetapi kategori kedalaman jauh. | Distance_category kandidat jauh ≠ label sedang. | Kontradiksi: bawah-kanan paling dekat tetapi dikategorikan jauh. | Status halangan bawah-kanan diremehkan; ada struktur tangga/railing dekat. | Status halangan bawah-kanan diremehkan; ada tangga/railing dekat.
1 (8466).jpg,gemma_depth_legacy_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.666666666666667,4.0,4.333333333333333,5.0,4.333333333333333,0.4714045207910317,"Area tengah menuju bukaan tampak relatif lapang. | Bukaan pintu ke ruang lain di latar tengah-kanan. | Doorway ke ruangan lain di tengah-belakang. | Kabinet kayu dominan di sisi kiri. | Kabinet kayu dominan di sisi kiri/dinding dapur. | Kabinet kayu dominan di sisi kiri/dinding. | Konter/meja putih-cokelat terlihat di bawah-kanan foreground. | Konter/meja putih-kayu muncul di bawah-kanan, paling dekat ke kamera. | Lantai tengah menuju doorway relatif kosong/lapang. | Lantai tengah menuju pintu relatif kosong/lapang. | Meja/counter kanan-bawah tampak paling dekat ke kamera. | Pintu/bukaan ke ruang lain di tengah-belakang.",
1 (8477).jpg,gemma_depth_legacy_controlled,cx/gpt-5.5,spatial-description-judge-v2-image-aware,3,4.0,3.0,4.0,4.0,4.0,0.0,"Area kiri bawah berupa karpet kosong relatif lapang. | Area kiri bawah relatif kosong/lapang. | Area tengah tidak sepenuhnya kosong; ada meja ruang tamu, kursi. | Furnitur foreground bawah-kanan paling dekat. | Jendela besar di belakang area duduk. | Kursi/meja di bawah-kanan tampak paling foreground/dekat. | Kursi/meja foreground kanan-bawah paling dekat kamera. | Meja ruang tamu di tengah. | Sofa/kursi mengelilingi meja ruang tamu di tengah. | Sofa/kursi menghadap meja di tengah.","Halangan bawah-kanan bertentangan dg label, meski cukup didukung visual. | Menyebut region tengah relatif lebih lapang padahal banyak furnitur. | Status halangan tidak selaras label: has_obstacle=no. | Tengah disebut relatif lapang meski banyak furnitur. | Tengah disebut relatif lapang, padahal berisi meja/furnitur; kiri lebih lapang."
