image_name,source_subset,mode,gt_object,pred_object,object_match,gt_position,pred_position,position_match,gt_distance,pred_distance,distance_match,gt_obstacle,obstacle_match,failure_cause,ambiguity_note,latency_ms,final_description
1 (1030).jpg,sample_new_balancing_medium_far,gemma_only,mesin cuci,Mesin cuci/pengering pakaian,True,kanan,depan,False,sedang,,,no,,kesalahan_model_posisi,,11438,Tampak deretan mesin cuci berwarna putih yang berjejer di sepanjang dinding ruangan. Lantai ruangan ditutupi ubin biru.
1 (1030).jpg,sample_new_balancing_medium_far,depth_only,mesin cuci,,False,kanan,,True,sedang,sedang,True,no,True,berhasil,,1830,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif sedang. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kiri tampak relatif lebih lapang."
1 (1030).jpg,sample_new_balancing_medium_far,gemma_depth,mesin cuci,Mesin cuci,True,kanan,tengah,True,sedang,sedang,True,no,True,berhasil,,11815,"Tampak deretan mesin cuci yang berjejer di dalam ruangan. Area tersebut terlihat seperti ruang utilitas atau laundry dengan lemari putih di atasnya. Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif sedang. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kiri tampak relatif lebih lapang."
1 (1030).jpg,sample_new_balancing_medium_far,gemma_depth_prompted,mesin cuci,mesin cuci,True,kanan,tengah,True,sedang,sedang,True,no,True,berhasil,,13005,"Tampak deretan mesin cuci yang dipasang di dinding dalam ruangan ini. Area depan tampak relatif lapang, dengan area terdekat berada di bagian bawah-kanan. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area kiri tampak relatif lebih lapang."
1 (34).jpg,sample_new_balancing_medium_far,gemma_only,meja konsol,Perabotan kayu dan lantai,False,tengah,tengah,True,sedang,,,no,,kesalahan_model_objek,,11039,"Gambar menunjukkan interior ruangan dengan lantai kayu dan perabotan kayu. Terdapat meja panjang di tengah dengan lampu dan vas bunga, serta kursi-kursi di kedua sisi."
1 (34).jpg,sample_new_balancing_medium_far,depth_only,meja konsol,,False,tengah,,True,sedang,sedang,True,no,True,berhasil,,1448,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif sedang. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
1 (34).jpg,sample_new_balancing_medium_far,gemma_depth,meja konsol,Perabotan kayu dan pintu,False,tengah,tengah,True,sedang,sedang,True,no,True,kesalahan_model_objek,,11050,"Gambar menunjukkan interior ruangan dengan lantai kayu dan bingkai pintu kaca besar yang mengarah ke luar. Terdapat meja panjang dan kursi kayu di dalam ruangan tersebut. Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif sedang. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
1 (34).jpg,sample_new_balancing_medium_far,gemma_depth_prompted,meja konsol,Perabotan ruangan,False,tengah,tengah,True,sedang,sedang,True,no,True,kesalahan_model_prompted_semantik_objek,,15168,"Tampak sebuah interior ruangan dengan lantai kayu dan perabotan kayu di tengah. Area depan tampak relatif lapang, sementara area bawah-kanan adalah region terdekat. Area bawah-kanan berpotensi menjadi halangan visual karena posisinya terbaca lebih dekat dibanding area lain. Area tengah tampak relatif lebih lapang."
1 (6082).jpg,sample_new_balancing_medium_far,gemma_only,bangku ruang ganti,koridor,False,kanan,tengah,True,sedang,,,no,,kesalahan_model_objek,,10145,Gambar menunjukkan interior koridor atau lorong ruangan dengan lantai berwarna terang dan pagar kayu di kedua sisi. Terdapat jendela yang terlihat di dinding sisi kanan.
1 (6082).jpg,sample_new_balancing_medium_far,depth_only,bangku ruang ganti,,False,kanan,,True,sedang,jauh,False,no,True,kesalahan_depth,,1416,"Berdasarkan estimasi kedalaman relatif, bagian bawah-kanan merupakan area yang paling dekat dibanding area lain, dengan kategori kedalaman relatif jauh. Area bawah-kanan tidak menunjukkan potensi halangan visual yang kuat karena masih berada pada kategori kedalaman relatif jauh. Area tengah tampak relatif lebih lapang."
